AirportCode,WeatherDate,Snow,Rain,Fog,Storm,Precipitation,Hail,Light,Moderate,Heavy,Severe,UNK,Other,AM/PM
PHX,2018-12-27,0,0,0,1,0,0,0,0,0,1,0,0,1
PHX,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2018-12-25,0,0,1,0,0,0,0,0,0,1,0,0,0
IAH,2018-12-25,0,0,1,0,0,0,0,0,0,1,0,0,0
IAH,2018-12-26,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2018-12-26,0,1,0,0,0,0,0,1,0,0,0,0,1
IAH,2018-12-26,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,0
IAH,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,0
IAH,2018-12-27,0,1,0,0,0,0,0,1,0,0,0,0,0
IAH,2018-12-27,0,1,0,0,0,0,0,0,1,0,0,0,0
IAH,2018-12-27,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2018-12-27,0,1,0,0,0,0,0,1,0,0,0,0,1
IAH,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2018-12-30,0,1,0,0,0,0,0,1,0,0,0,0,1
IAH,2018-12-30,0,1,0,0,0,0,1,0,0,0,0,0,1
IAH,2018-12-31,0,0,1,0,0,0,0,0,0,1,0,0,0
IAH,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,0
IAH,2018-12-31,0,1,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-01-02,1,0,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
ORD,2019-01-07,0,1,0,0,0,0,0,1,0,0,0,0,1
ORD,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
ORD,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
DEN,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2019-01-02,0,1,0,0,0,0,0,1,0,0,0,0,1
DFW,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-01-02,0,1,0,0,0,0,0,1,0,0,0,0,1
DFW,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-01-03,1,0,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-01-03,0,1,0,0,0,0,1,0,0,0,0,0,1
DFW,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
DFW,2019-01-04,0,1,0,0,0,0,1,0,0,0,0,0,0
LAX,2019-01-06,0,1,0,0,0,0,1,0,0,0,0,0,0
LAX,2019-01-06,0,1,0,0,0,0,0,1,0,0,0,0,0
LAX,2019-01-06,0,1,0,0,0,0,0,0,1,0,0,0,0
LAX,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0
LAX,2019-01-07,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
ATL,2019-01-02,0,1,0,0,0,0,1,0,0,0,0,0,1
